Project,File,GeneStartIndex,GeneEndIndex,GeneRows,CaseColumns,FirstGene,LastGene,SizeBytes,SHA256
TCGA-CESC,TCGA_CESC_expression_part_001.csv.gz,1,6000,6000,304,TSPAN6,GNAZ,14559118,d6e098f3d0e9be2490c5dadf52220746bc11e1ebbc73cfde18e21551a86a7a6e
TCGA-CESC,TCGA_CESC_expression_part_002.csv.gz,6001,12000,6000,304,MGAT3,PDIA3,14044442,d74067683de76de7560f070b9284a11c69bf7e2774cf8a18bf2949f8858a84ae
TCGA-CESC,TCGA_CESC_expression_part_003.csv.gz,12001,18000,6000,304,NUDT21,MIR361,11973504,2b09505cc2cce4ec2a9737a8fa4a36eca31e81978f3b3db25eaf0ae2d5bcef1d
TCGA-CESC,TCGA_CESC_expression_part_004.csv.gz,18001,24000,6000,304,MIR324,MIR1283-2,5079793,bd3ef5ee4abc1508908c8d715b88e56ba7800003cba6b28b9c82a62695a5da7c
TCGA-CESC,TCGA_CESC_expression_part_005.csv.gz,24001,30000,6000,304,MIR1303,AL021921.1,5100454,c61ecfc47f7b736b58c8054ee69a7689343a489b24c338958b4da58ba3835d2f
TCGA-CESC,TCGA_CESC_expression_part_006.csv.gz,30001,36000,6000,304,AC099792.1,AC079804.1,5280180,0a9bcabede5ce2b67dc0181438f06946366eca7a7145ece0e2975b7d4283fab1
TCGA-CESC,TCGA_CESC_expression_part_007.csv.gz,36001,42000,6000,304,RN7SL369P,OR4D10,4570980,853b506d82e308bbc0dd8058f4e2d8805d3c09ea543db29795f4438fbaacf0a2
TCGA-CESC,TCGA_CESC_expression_part_008.csv.gz,42001,48000,6000,304,AP002765.1,AP005901.2,5173304,b04f6e34814f57670e0bfbf2563ca6381c4bbbc4eb6cbad0324850631270a8cc
TCGA-CESC,TCGA_CESC_expression_part_009.csv.gz,48001,54000,6000,304,AL358013.1,AC004801.6,5961887,d37acdd254dd9bd2ff21d57fce31dd457a55c0a869f637eb073f458b80e76c8f
TCGA-CESC,TCGA_CESC_expression_part_010.csv.gz,54001,60000,6000,304,TRBV15,AC100808.1,4653649,18611935aa845abc7b89836d034386f51c6634007015b46da8a42aebe17f5442
TCGA-CESC,TCGA_CESC_expression_part_011.csv.gz,60001,60660,660,304,AC008403.3,AP006621.6,505592,93897d337efa32526df62eb6cd91d7c993d07314c40b89a39672e759e84d01ef
TCGA-HNSC,TCGA_HNSC_expression_part_001a.csv.gz,1,3000,3000,521,TSPAN6,LYL1,12609119,61f0c557d91fb0c80d03b42eece842b8457a58e431bcb408f16ebce28b065e28
TCGA-HNSC,TCGA_HNSC_expression_part_001b.csv.gz,3001,6000,3000,521,OAZ1,GNAZ,12257213,68c1b1d8406c5f4486df7480a41343dde48e0769deb2d3ea6a487f41a7db00ab
TCGA-HNSC,TCGA_HNSC_expression_part_002a.csv.gz,6001,9000,3000,521,MGAT3,PSKH2,12160370,5dc9634990e4222ffaae07a09899cbe6135538e3ccd214049e4445b068bba042
TCGA-HNSC,TCGA_HNSC_expression_part_002b.csv.gz,9001,12000,3000,521,ATP6V0D2,PDIA3,11829148,856b47b37379b32704d8793ae2a642aac9c5b7845cc44facd4ef346911bad6c4
TCGA-HNSC,TCGA_HNSC_expression_part_003a.csv.gz,12001,15000,3000,521,NUDT21,FER1L6-AS1,10633753,edeef3231eec66dd49ae8d8d05f45364f64ac6db6b705ce3c3df1b2ef01a8837
TCGA-HNSC,TCGA_HNSC_expression_part_003b.csv.gz,15001,18000,3000,521,PJA1,MIR361,9844928,9858f1c0d7c1ea655929b0b022d10f4796b28e2ec9df5f4cb26a3e3f3f684e63
TCGA-HNSC,TCGA_HNSC_expression_part_004.csv.gz,18001,24000,6000,521,MIR324,MIR1283-2,8318832,807653d6128dc364522d77f1603e3b55c880e9573ff0fe97f6436f0b9341e2db
TCGA-HNSC,TCGA_HNSC_expression_part_005.csv.gz,24001,30000,6000,521,MIR1303,AL021921.1,8515059,24acca12036337b95c940a7ddb7153d1b1b23fac8ce758c26ceebfc8d7d23c14
TCGA-HNSC,TCGA_HNSC_expression_part_006.csv.gz,30001,36000,6000,521,AC099792.1,AC079804.1,8816812,42389e7816ddd5f478abd4ef8f3b6b6e06074393ad610e9b3e4a4e86715d031e
TCGA-HNSC,TCGA_HNSC_expression_part_007.csv.gz,36001,42000,6000,521,RN7SL369P,OR4D10,7723253,ac3107535aaecc6cb5213579417e030e8c4fa02c6e56a403fe80e5cf23e8db86
TCGA-HNSC,TCGA_HNSC_expression_part_008.csv.gz,42001,48000,6000,521,AP002765.1,AP005901.2,8582750,32e925c0293740711db2794e0b13c8a3f6cc7518bbd44e18686697081e2ad4b7
TCGA-HNSC,TCGA_HNSC_expression_part_009.csv.gz,48001,54000,6000,521,AL358013.1,AC004801.6,9349099,e975e8223c8d86d02553dfaeaa7ba0e31ae46d56b2f8962f8eb7fe1a8da76ae9
TCGA-HNSC,TCGA_HNSC_expression_part_010.csv.gz,54001,60000,6000,521,TRBV15,AC100808.1,7562570,68e23bb22e03596b0edecdf0da8aaddba14b345f1f1540c6f2de49a5ad07d2d7
TCGA-HNSC,TCGA_HNSC_expression_part_011.csv.gz,60001,60660,660,521,AC008403.3,AP006621.6,859564,ce4e448ddfffb7dfab79d626e2402c83ee299ff9a1d93c08de159be21a66e6f2
TCGA-LUSC,TCGA_LUSC_expression_part_001a.csv.gz,1,3000,3000,501,TSPAN6,LYL1,12283078,0ce83fe73cfd392b4c33565e20f185ace623f6affcb350e24ce8d51cdcddb741
TCGA-LUSC,TCGA_LUSC_expression_part_001b.csv.gz,3001,6000,3000,501,OAZ1,GNAZ,11944325,0839db04fd5949828def5d816d5cef27cdf184791971f2f642bcfbe44ad6f6ec
TCGA-LUSC,TCGA_LUSC_expression_part_002a.csv.gz,6001,9000,3000,501,MGAT3,PSKH2,11898762,2d94cdb52c20779231be3201d016de6855e2fc0c9863eab1efc55541a034bea7
TCGA-LUSC,TCGA_LUSC_expression_part_002b.csv.gz,9001,12000,3000,501,ATP6V0D2,PDIA3,11634340,b6135a0b75bb880ac24c4574b0f18df9105c8f32610200a22c8256452248d89a
TCGA-LUSC,TCGA_LUSC_expression_part_003a.csv.gz,12001,15000,3000,501,NUDT21,FER1L6-AS1,10492402,397ded4d57ffe04cdb1bc56bf0c3fc52e6a339091716c381cdbd0f2e0d653ba9
TCGA-LUSC,TCGA_LUSC_expression_part_003b.csv.gz,15001,18000,3000,501,PJA1,MIR361,9795515,be39112e0e19dd6accb6f185d1790c452b0882b3d64192794a8487d014c9cfd0
