GeneSymbol,EnsemblGeneID,CC-21-016,CC-21-022,CC-21-030,CC-21-031,CC-21-041,CC-21-045,CC-21-049,CC-21-054,CC-21-065,CC-21-069,CC-21-070,CC-21-071,CC-21-072,CC-21-073,CC-21-074,CC-21-075,CC-21-076,CC-21-077,CC-21-079,CC-21-080,CC-21-081,CK-21-01,CK-21-02,CK-21-03,CK-21-04,CK-21-05,CK-21-06,CK-21-07,CK-21-08,CK-21-09,CK-21-10,CK-21-11,CK-21-12,CK-21-13,CK-21-14
CDK2,ENSG00000123374,0,1,0,0,0,0,0,1,0,0,3,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
DOT1L,ENSG00000104885,0,12,0,4,0,0,0,7,9,0,14,0,1,6,3,3,9,18,0,9,2,0,0,6,2,0,0,0,5,0,13,0,0,5,1
TOP1,ENSG00000198900,0,9,0,5,1,0,0,10,3,0,4,2,1,12,6,5,6,8,0,8,3,1,0,4,0,0,0,3,2,0,10,1,0,3,3
TUBA1B,ENSG00000123416,0,4,2,2,1,0,0,0,1,0,2,0,0,8,7,1,2,8,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1
BRD1,ENSG00000100425,0,1,4,1,0,0,0,8,2,0,4,0,0,2,2,0,9,10,0,9,2,0,0,0,1,0,1,0,6,0,8,0,0,0,2
PBRM1,ENSG00000163939,0,0,0,0,0,0,0,0,3,0,1,0,0,5,5,0,4,5,0,2,2,0,0,0,0,0,0,0,6,0,10,0,0,0,0
PARP2,ENSG00000129484,0,6,5,0,0,0,0,6,2,0,2,0,1,5,0,1,3,6,0,2,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0
ATR,ENSG00000175054,0,13,13,12,0,0,0,3,6,0,5,0,1,16,8,7,14,9,0,9,4,1,2,3,2,0,1,4,6,0,3,0,1,1,3
EWSR1,ENSG00000182944,0,7,0,9,0,0,0,9,10,0,5,0,5,13,1,6,15,9,0,8,3,1,1,1,0,0,1,0,1,0,4,1,1,1,3
BRAF,ENSG00000157764,0,9,0,10,0,0,0,4,18,0,11,0,2,16,5,2,23,10,0,12,8,0,2,5,1,0,0,1,7,0,8,0,4,2,1
MTOR,ENSG00000198793,0,15,2,7,0,0,0,12,15,0,6,0,5,14,16,5,21,25,0,19,1,0,2,6,0,0,0,0,6,0,17,0,5,0,2
